Authors	B-SPECIES
’	O
response	B-PROCESS
:	O
Plenty	O
of	O
coronaviruses	B-VIRUS
but	O
no	O
SARS	B-DISEASE
-	O
CoV-2	O
To	O
the	O
editor	O
:	O
The	O
emergence	O
of	O
a	O
novel	O
pathogen	B-CHEMICAL
raises	O
a	O
wide	O
range	O
of	O
urgent	B-PHENOMENON
questions	O
that	O
need	O
to	O
be	O
addressed	O
to	O
guide	O
clinical	B-PROCEDURE
and	O
public	B-PROCEDURE
health	B-SPECIES
responses	B-PROCESS
[	O
1	B-DATE
]	O
.	O
One	O
of	O
the	O
cornerstones	O
and	O
a	O
prerequisite	O
for	O
a	O
proper	O
public	B-PROCEDURE
health	B-SPECIES
and	O
clinical	B-PROCEDURE
response	B-PROCESS
is	O
the	O
availability	O
of	O
a	O
reliable	O
diagnostic	B-PROCEDURE
and	O
reference	O
laboratory	O
service	O
with	O
adequate	O
capacity	O
.	O
This	O
is	O
recognised	O
in	O
the	O
International	B-PHENOMENON
Health	B-PROCEDURE
Regulations	B-PHENOMENON
(	O
IHR	O
2005	O
)	O
and	O
explicitly	O
recognised	O
by	O
the	O
World	O
Health	B-PROCEDURE
Organization	O
(	O
WHO	O
)	O
and	O
the	O
European	B-PLACE
Centre	I-PLACE
for	O
Disease	B-DISEASE
Prevention	B-PROCEDURE
and	O
Control	B-PROCEDURE
(	O
ECDC	B-PLACE
)	O
in	O
their	O
risk	O
assessments	O
and	O
guidelines	O
upon	O
the	O
emergence	O
of	O
severe	B-DISEASE
acute	I-DISEASE
respiratory	I-DISEASE
syndrome	I-DISEASE
coronavirus	B-VIRUS
2	B-GENE
(	O
SARS	B-DISEASE
-	O
CoV-2	O
)	O
[	O
2	B-GENE
]	O
[	O
3	B-DATE
]	O
[	O
4	B-DATE
]	O
[	O
5	B-DATE
]	O
.	O
Colson	B-PERSON
et	O
al	B-PERSON
.	O
question	O
the	O
proportionality	O
of	O
the	O
laboratory	O
readiness	O
and	O
response	B-PROCESS
for	O
this	O
novel	O
coronavirus	B-VIRUS
in	O
expert	O
laboratories	O
of	O
Emerging	B-DISEASE
Viral	I-DISEASE
Diseases	I-DISEASE
-	O
Expert	O
Laboratory	O
Network	B-PHENOMENON
(	O
EVD	O
-	O
LabNet	O
)	O
and	O
European	B-PLACE
Reference	O
Laboratory	O
Network	B-PHENOMENON
for	O
Human	B-SPECIES
Influenza	B-DISEASE
(	O
ERLI	O
-	O
Net	O
)	O
in	O
30	B-QUANTITY
European	B-PLACE
Union	I-PLACE
and	O
European	B-PLACE
Economic	O
Area	O
(	O
EU	O
/	O
EEA	O
)	O
countries	B-PLACE
,	O
as	O
outlined	O
in	O
our	O
publication	O
[	O
6	B-DATE
]	O
.	O
The	O
initial	O
response	B-PROCESS
to	O
the	O
emergence	O
of	O
SARS	B-DISEASE
-	O
CoV-2	O
is	O
a	O
strategy	O
of	O
containment	O
consisting	O
of	O
active	B-PHENOMENON
case	B-PROCEDURE
finding	B-PHENOMENON
in	O
combination	O
with	O
case	B-PROCEDURE
isolation	I-PROCEDURE
and	O
quarantine	B-PROCEDURE
of	O
contacts	O
[	O
3	B-DATE
]	O
,	O
a	O
strategy	O
for	O
which	O
adequate	O
worldwide	O
laboratory	O
services	O
are	O
indispensable	O
as	O
seeding	O
of	O
the	O
virus	B-DISEASE
through	O
travellers	B-SPECIES
from	O
China	B-PLACE
could	O
be	O
expected	O
.	O
Indeed	O
,	O
during	O
the	O
response	B-PROCESS
period	B-DATE
for	O
our	O
survey	O
,	O
the	O
first	O
cases	B-QUANTITY
of	O
coronavirus	B-VIRUS
disease	B-DISEASE
2019	B-DATE
(	O
COVID-19	B-DISEASE
)	O
were	O
already	O
notified	O
in	O
France	B-PLACE
on	O
24	B-DATE
January	I-DATE
and	O
as	O
at	O
26	B-DATE
February	I-DATE
2020	I-DATE
,	O
381	B-QUANTITY
cases	I-QUANTITY
have	O
been	O
notified	O
in	O
Europe	B-PLACE
[	O
6	B-DATE
,	O
7	B-DATE
]	O
.	O
While	O
the	O
current	O
response	B-PROCESS
strategy	O
is	O
still	O
focused	O
on	O
containment	O
,	O
it	O
is	O
becoming	O
increasingly	O
clear	O
that	O
the	O
epidemic	O
may	O
turn	O
global	B-PHENOMENON
,	O
in	O
which	O
case	B-PROCEDURE
mitigation	I-PROCEDURE
will	O
be	O
the	O
next	O
option	O
to	O
control	B-PROCEDURE
the	O
impact	O
of	O
the	O
pandemic	O
.	O
Substantial	O
autochthonous	O
circulation	O
in	O
Italy	B-PLACE
,	O
Iran	B-PLACE
and	O
South	B-PLACE
Korea	I-PLACE
has	O
been	O
reported	O
by	O
now	O
,	O
while	O
there	O
is	O
increasing	O
evidence	O
that	O
subclinical	O
infections	B-DISEASE
occur	O
and	O
people	B-SPECIES
may	O
be	O
infectious	B-DISEASE
before	O
symptoms	B-DISEASE
appear	O
[	O
8	B-DATE
]	O
[	O
9	B-DATE
]	O
[	O
10	B-DATE
]	O
.	O
These	O
developments	B-PHENOMENON
indicate	O
that	O
the	O
window	O
of	O
opportunity	O
to	O
contain	O
and	O
eradicate	O
is	O
rapidly	O
narrowing	O
.	O
[	O
11	O
]	O
.	O
Therefore	O
,	O
it	O
is	O
needless	O
to	O
state	O
that	O
for	O
each	O
phase	O
in	O
the	O
control	B-PROCEDURE
and	O
mitigation	B-PROCEDURE
of	O
a	O
novel	O
emerging	B-DISEASE
pathogen	B-CHEMICAL
,	O
adequate	O
laboratory	O
preparedness	O
and	O
response	B-PROCESS
are	O
crucial	O
.	O
The	O
readiness	O
survey	O
that	O
we	O
performed	O
served	O
the	O
important	O
purpose	O
of	O
mapping	O
the	O
initial	O
response	B-PROCESS
capacities	O
in	O
Europe	B-PLACE
and	O
identifying	O
barriers	O
to	O
diagnostic	B-PROCEDURE
implementation	O
.	O
Therefore	O
,	O
we	O
maintain	O
that	O
the	O
urgent	B-PHENOMENON
implementation	O
and	O
monitoring	O
of	O
diagnostic	B-PROCEDURE
capacities	O
and	O
capabilities	O
for	O
SARS	B-DISEASE
-	O
CoV-2	O
in	O
Europe	B-PLACE
is	O
proportional	O
to	O
the	O
containment	O
and	O
expected	O
mitigation	B-PROCEDURE
phase	O
of	O
the	O
global	B-PHENOMENON
public	B-PROCEDURE
health	B-SPECIES
response	B-PROCESS
and	O
is	O
critical	B-DISEASE
for	O
care	B-PROCEDURE
of	O
local	O
patients	B-SPECIES
.	O
The	O
implementation	O
of	O
SARS	B-DISEASE
-	O
CoV-2	O
diagnostics	O
does	O
not	O
replace	O
nor	O
exclude	O
diagnostic	B-PROCEDURE
capacity	O
for	O
other	O
respiratory	B-DISEASE
viruses	B-VIRUS
.	O
Moreover	O
,	O
it	O
explicitly	O
does	O
not	O
disregard	O
the	O
importance	O
of	O
other	O
seasonal	B-DISEASE
respiratory	I-DISEASE
pathogens	I-DISEASE
for	O
public	B-PROCEDURE
and	O
patient	B-SPECIES
health	I-SPECIES
.	O
This	O
is	O
clearly	O
illustrated	O
by	O
the	O
authors	B-SPECIES
themselves	O
,	O
who	O
indicate	O
that	O
they	O
have	O
tested	O
thousands	B-QUANTITY
of	O
samples	B-PROCEDURE
of	O
patients	B-SPECIES
suspected	O
of	O
respiratory	B-DISEASE
viral	I-DISEASE
disease	I-DISEASE
not	O
only	O
for	O
common	B-DISEASE
respiratory	I-DISEASE
pathogens	I-DISEASE
but	O
also	O
for	O
SARS	B-DISEASE
-	O
CoV-2	O
.	O
The	O
fact	O
that	O
Colson	B-PERSON
et	O
al	B-PERSON
.	O
found	O
a	O
wide	O
range	O
of	O
seasonal	B-DISEASE
respiratory	I-DISEASE
viruses	B-VIRUS
indeed	O
underlines	O
the	O
impact	O
of	O
such	O
pathogens	B-DISEASE
.	O
Furthermore	O
,	O
it	O
clearly	O
shows	O
that	O
diagnosis	B-PROCEDURE
of	O
respiratory	B-DISEASE
viruses	B-VIRUS
can	O
not	O
be	O
done	O
syndrome	B-DISEASE
-	O
based	B-DISEASE
and	O
supports	O
the	O
need	O
for	O
the	O
availability	O
of	O
diagnostics	O
for	O
a	O
panel	O
of	O
pathogens	B-DISEASE
including	O
SARS	B-DISEASE
-	O
CoV-2	O
.	O
The	O
proportionality	O
of	O
the	O
measures	B-PROCEDURE
taken	O
to	O
control	B-PROCEDURE
SARS	B-DISEASE
-	O
CoV-2	O
can	O
only	O
be	O
rightly	O
evaluated	O
when	O
the	O
critical	B-DISEASE
questions	O
related	O
to	O
SARS	B-DISEASE
-	O
CoV-2	O
,	O
including	O
the	O
exact	O
mortality	B-PROCEDURE
rate	B-QUANTITY
highlighted	O
by	O
the	O
authors	B-SPECIES
,	O
have	O
been	O
answered	O
.	O
These	O
answers	O
are	O
already	O
largely	O
known	O
for	O
the	O
common	B-DISEASE
seasonal	I-DISEASE
respiratory	I-DISEASE
viruses	B-VIRUS
but	O
until	O
then	O
cautiousness	O
,	O
is	O
needed	O
.	O
Regardless	O
of	O
the	O
outcomes	O
of	O
the	O
rapidly	O
evolving	O
epidemiological	O
situation	O
of	O
SARS	B-DISEASE
-	O
CoV-2	O
and	O
even	O
in	O
the	O
event	O
that	O
SARS	B-DISEASE
-	O
CoV-2	O
becomes	O
the	O
fifth	O
commonly	O
circulating	O
human	B-SPECIES
coronavirus	B-VIRUS
,	O
the	O
need	O
for	O
diagnostic	B-PROCEDURE
capacity	O
and	O
capability	O
will	O
remain	O
.	O
